#1
double data2(8760,2)   # comment line
  12333600           19
  12337200           19
  12340800           19
  12344400           19
  12348000           19
  12351600           19
  12355200           19
  12358800           19
  12362400           19
  12366000           19
  12369600           19
  12373200           19
  12376800           19
  12380400           19
  12384000           19
  12387600           19
  12391200           16
  12394800           16
  12398400           16
  12402000           16
  12405600           16
  12409200           16
  12412800           16
  12416400           16
  12420000           19
  12423600           19
  12427200           19
  12430800           19
  12434400           19
  12438000           19
  12441600           19
  12445200           19
  12448800           19
  12452400           19
  12456000           19
  12459600           19
  12463200           19
  12466800           19
  12470400           19
  12474000           19
  12477600           16
  12481200           16
  12484800           16
  12488400           16
  12492000           16
  12495600           16
  12499200           16
  12502800           16
  12506400           19
  12510000           19
  12513600           19
  12517200           19
  12520800           19
  12524400           19
  12528000           19
  12531600           19
  12535200           19
  12538800           19
  12542400           19
  12546000           19
  12549600           19
  12553200           19
  12556800           19
  12560400           19
  12564000           19
  12567600           19
  12571200           19
  12574800           19
  12578400           19
  12582000           19
  12585600           19
  12589200           19
  12592800           19
  12596400           19
  12600000           19
  12603600           19
  12607200           19
  12610800           19
  12614400           19
  12618000           19
  12621600           19
  12625200           19
  12628800           19
  12632400           19
  12636000           19
  12639600           19
  12643200           19
  12646800           19
  12650400           19
  12654000           19
  12657600           19
  12661200           19
  12664800           19
  12668400           19
  12672000           19
  12675600           19
  12679200           19
  12682800           19
  12686400           19
  12690000           19
  12693600           19
  12697200           19
  12700800           19
  12704400           19
  12708000           19
  12711600           19
  12715200           19
  12718800           19
  12722400           19
  12726000           19
  12729600           19
  12733200           19
  12736800           16
  12740400           16
  12744000           16
  12747600           16
  12751200           16
  12754800           16
  12758400           16
  12762000           16
  12765600           19
  12769200           19
  12772800           19
  12776400           19
  12780000           19
  12783600           19
  12787200           19
  12790800           19
  12794400           19
  12798000           19
  12801600           19
  12805200           19
  12808800           19
  12812400           19
  12816000           19
  12819600           19
  12823200           16
  12826800           16
  12830400           16
  12834000           16
  12837600           16
  12841200           16
  12844800           16
  12848400           16
